source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.cron,$workers.event.scheduledTime,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T07:57:11.721Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,H07ZYHA51TCDD7VR,01KKXCRZN9KWZWGM6F8GAR399D,H07ZYHA51TCDD7VR,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T07:55:20.732Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,WDLF1X4GXQX3NCSH,01KKXCNM0J1A1YTJ9XG9BBBX2Z,WDLF1X4GXQX3NCSH,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T07:53:30.335Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,17LTJ3PY17IC8I4D,01KKXCJ7EZA2EAHAJBZBKHXNDV,17LTJ3PY17IC8I4D,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T07:35:07.758Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,MMD38I4PHQQ4ROUD,01KKXBKF8DM5A4AVFTYYRW56R6,MMD38I4PHQQ4ROUD,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T07:33:16.511Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,SRHK1JECWQJLF886,01KKXBD6ZSCVF91MTFEBQZK8MS,SRHK1JECWQJLF886,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:58:07.656Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,87ERMM9J88HVDY32,01KKX9CV5PMJGX2Z72XXGH3DD7,87ERMM9J88HVDY32,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:56:17.235Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,G86YDTH48EJ1ICP0,01KKX99ETK0BWKEDS1R9S83J14,G86YDTH48EJ1ICP0,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:55:21.404Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,M3TSIS0SCDFVN8HK,01KKX97R9W5HH6TWHHAGX1C5VB,M3TSIS0SCDFVN8HK,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:54:00.880Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,JPHIXBWLWJZ6R6O6,01KKX962RE8B04FTT14S35XE29,JPHIXBWLWJZ6R6O6,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,acf233ee408f5b57bb6242e78f364b8c,queue,"[ERROR] [Discovery] Vector ""api_discovery"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",cloudflare-workers,2026-03-17T06:53:30.977Z,false,,,job-hunter-bot,ok,queue,bf4a61a0-ee48-4507-88d6-944deccb04d3,stateless,XEA2LZU2S7ZTUUUC,01KKX94CF1EMSED2X8PPCQPDK8,XEA2LZU2S7ZTUUUC,discovery-queue,job-hunter-bot,error,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s","[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",346e138aae29f6b381c1ebae50734856,cf-worker,d4ca89458359150b23ce2d62901152c1,queue,"[ERROR] [Discovery] Vector ""search"" failed: Vector execution timed out after 110s",undefined,undefined,undefined,[]
