source.level,source.message,dataset,timestamp,$workers.truncated,$workers.event.queue,$workers.event.batchSize,$workers.scriptName,$workers.outcome,$workers.eventType,$workers.scriptVersion.id,$workers.executionModel,$workers.requestId,$metadata.id,$metadata.requestId,$metadata.trigger,$metadata.service,$metadata.level,$metadata.error,$metadata.message,$metadata.account,$metadata.type,$metadata.fingerprint,$metadata.origin,$metadata.messageTemplate,$metadata.startTime,$metadata.endTime,$metadata.now,links
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T21:00:22.842Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,QZGP4B35T0HG9GOD,01KK51KXAQXKCT7R8F9YRZX62T,QZGP4B35T0HG9GOD,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T21:00:18.045Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,QZGP4B35T0HG9GOD,01KK51KXAQXKCT7R8F9YRZX62K,QZGP4B35T0HG9GOD,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T20:45:20.999Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,JGJJNE475DM2ABO1,01KK50RCTYBK4B0E7NP46TG5QS,JGJJNE475DM2ABO1,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T20:45:16.253Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,JGJJNE475DM2ABO1,01KK50RCTYBK4B0E7NP46TG5QJ,JGJJNE475DM2ABO1,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T20:30:22.278Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,ES97FX3ZGYEJDPFY,01KK4ZWYQ3365Z6DG184CGET9S,ES97FX3ZGYEJDPFY,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T20:30:17.454Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,ES97FX3ZGYEJDPFY,01KK4ZWYQ3365Z6DG184CGET9J,ES97FX3ZGYEJDPFY,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T20:15:20.714Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,SN88T2FJM7VT93FJ,01KK4Z1DFZRMTWZTG60X54VWZN,SN88T2FJM7VT93FJ,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T20:15:15.942Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,SN88T2FJM7VT93FJ,01KK4Z1DFZRMTWZTG60X54VWZE,SN88T2FJM7VT93FJ,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T20:00:22.185Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,EHA2KVMGUTYO79T0,01KK4Y60TKHPGRB67ZMZ3QWXDM,EHA2KVMGUTYO79T0,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T20:00:17.351Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,EHA2KVMGUTYO79T0,01KK4Y60TKHPGRB67ZMZ3QWXDD,EHA2KVMGUTYO79T0,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T19:45:20.755Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,851MB3QLSI5CDZYI,01KK4XAFRDA5Q4298FEBAC0X74,851MB3QLSI5CDZYI,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
error,"0,15,30,45 * * * * ",cloudflare-workers,2026-03-07T19:45:15.944Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,851MB3QLSI5CDZYI,01KK4XAFRDA5Q4298FEBAC0X6X,851MB3QLSI5CDZYI,"0,15,30,45 * * * *",job-hunter-bot,error,"0,15,30,45 * * * * ","0,15,30,45 * * * * ",346e138aae29f6b381c1ebae50734856,cf-worker-event,5b91c98a766e7ec460fe2aab6366fe44,cron,"0,15,30,45 * * * *",undefined,undefined,undefined,[]
error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,cloudflare-workers,2026-03-07T19:30:21.639Z,false,,,job-hunter-bot,exceededCpu,cron,ee988a84-2ece-4543-9924-c49d4aa068e0,stateless,ZU86WO2E1HH1I74X,01KK4WF1AM2V67TB4H1PR3PA23,ZU86WO2E1HH1I74X,"0,15,30,45 * * * *",job-hunter-bot,error,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,346e138aae29f6b381c1ebae50734856,cf-worker,a182c642af561a79ea097003474c6a2a,cron,[ERROR] [Producer] Queue send failed after retries: Queue sendBatch failed: Too Many Requests. Falling back to DIRECT processing.,undefined,undefined,undefined,[]
